Disease	Symptom_1	Symptom_2	Symptom_3	Symptom_4	Symptom_5	Symptom_6	Symptom_7	Symptom_8	Symptom_9	Symptom_10	Symptom_11	Symptom_12	Symptom_13	Symptom_14	Symptom_15	Symptom_16	Symptom_17
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation							
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 red_spots_over_body				
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Alcoholic hepatitis	 vomiting	 yellowish_skin	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload											
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)							
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Acne	 skin_rash	 pus_filled_pimples	 blackheads														
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption											
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Hepatitis E	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
Hepatitis D	 joint_pain	 vomiting	 fatigue	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes									
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 inflammatory_nails												
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain									
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Pneumonia	 chills	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Chronic cholestasis	itching	 vomiting	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes											
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 cough	 chest_pain												
Common Cold	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain	
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 swollen_blood_vessels	 prominent_veins_on_calf										
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Hyperthyroidism	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation							
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Allergy	 continuous_sneezing	 shivering	 watering_from_eyes														
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Urinary tract infection	 burning_micturition	 bladder_discomfort	 continuous_feel_of_urine														
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 toxic_look_(typhos)	 belly_pain							
AIDS	 muscle_wasting	 high_fever	 extra_marital_contacts														
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Malaria	 chills	 vomiting	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain										
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
AIDS	 muscle_wasting	 high_fever	 extra_marital_contacts														
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 swollen_blood_vessels											
Jaundice	itching	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain										
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain	
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Gastroenteritis	 vomiting	 dehydration	 diarrhoea														
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations						
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 mild_fever	 yellowing_of_eyes	 muscle_pain							
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Drug Reaction	itching	 skin_rash	 stomach_pain	 spotting_ urination													
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine														
Migraine	 acidity	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances									
Gastroenteritis	 vomiting	 dehydration	 diarrhoea														
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations						
Urinary tract infection	 burning_micturition	 bladder_discomfort	 continuous_feel_of_urine														
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Varicose veins	 fatigue	 cramps	 obesity	 swollen_legs	 swollen_blood_vessels	 prominent_veins_on_calf											
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Fungal infection	 skin_rash	 nodal_skin_eruptions	 dischromic _patches														
Alcoholic hepatitis	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload											
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Hypertension 	 headache	 chest_pain	 loss_of_balance	 lack_of_concentration													
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 prominent_veins_on_calf											
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Chicken pox	itching	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body							
Heart attack	 breathlessness	 sweating	 chest_pain														
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Hypertension 	 headache	 chest_pain	 dizziness	 lack_of_concentration													
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
AIDS	 muscle_wasting	 high_fever	 extra_marital_contacts														
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain									
Hepatitis C	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history												
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 painful_walking													
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body							
Pneumonia	 chills	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations						
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Diabetes 	 fatigue	 weight_loss	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria								
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body				
Peptic ulcer diseae	 vomiting	 indigestion	 abdominal_pain	 passage_of_gases	 internal_itching												
Arthritis	 muscle_weakness	 swelling_joints	 movement_stiffness	 painful_walking													
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain						
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 diarrhoea	 toxic_look_(typhos)	 belly_pain							
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum		
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Fungal infection	itching	 nodal_skin_eruptions	 dischromic _patches														
Chronic cholestasis	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes											
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 yellowing_of_eyes									
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance													
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation				
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Chronic cholestasis	itching	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes											
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 loss_of_balance													
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Allergy	 continuous_sneezing	 shivering	 watering_from_eyes														
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
AIDS	 muscle_wasting	 high_fever	 extra_marital_contacts														
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Common Cold	 continuous_sneezing	 chills	 fatigue	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain	
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 family_history												
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Diabetes 	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria								
Drug Reaction	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination													
AIDS	 muscle_wasting	 patches_in_throat	 high_fever														
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Tuberculosis	 chills	 vomiting	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum		
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Allergy	 continuous_sneezing	 chills	 watering_from_eyes														
Hypothyroidism	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption											
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain							
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
